epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2346,0.67601,1.27537,3.15344,0.98056,0,0.00471,1,0.41883,0.35984,0.00471,1,0.41883,0.38373,0.50401,0.6615,3.57566,0.87774,0,0.000375,0.000375,0.000375
2,17.5743,0.65822,0.70434,2.27308,0.95824,0,0.62255,0.15625,0.48029,0.37968,0.62255,0.15625,0.48029,0.38752,0.49857,0.87245,3.30204,0.87428,0,0.000732305,0.000732305,0.000732305
3,24.7092,0.69427,0.79551,2.0355,0.96984,0,0.5952,0.42665,0.57654,0.48276,0.59141,0.42748,0.58549,0.50617,0.71772,1.39612,3.19294,1.01512,0,0.00105892,0.00105892,0.00105892
4,31.2504,0.68663,0.76866,1.80403,0.97278,0,0.73904,0.59823,0.6922,0.5892,0.73904,0.59823,0.6922,0.61064,0.69227,1.64403,2.89346,1.05409,0,0.0011015,0.0011015,0.0011015
5,38.5911,0.70668,0.67265,1.66676,0.95794,0,0.73997,0.67017,0.75291,0.62541,0.73997,0.67017,0.74521,0.66486,0.6453,1.06152,2.13102,1.00104,0,0.001052,0.001052,0.001052
6,45.6971,0.62451,0.49826,1.46861,0.93682,0,0.58385,0.63349,0.71552,0.59927,0.58385,0.63349,0.71552,0.64443,0.66582,0.85842,2.48765,1.01315,0,0.0010025,0.0010025,0.0010025
7,53.5039,0.6256,0.63159,1.38087,0.94259,0,0.76214,0.63984,0.72057,0.61874,0.74967,0.76965,0.7697,0.69165,0.72132,1.40068,2.4161,1.08323,0,0.000953,0.000953,0.000953
8,59.7682,0.6101,0.67021,1.32297,0.93059,0,0.95234,0.80804,0.91576,0.80996,0.95234,0.80804,0.91576,0.79843,0.53798,1.06901,1.78354,0.90077,0,0.0009035,0.0009035,0.0009035
9,67.2314,0.61229,0.62217,1.23056,0.94181,0,0.91417,0.74355,0.90194,0.79798,0.91417,0.74355,0.90194,0.82005,0.55274,0.5882,1.83684,0.87201,0,0.000854,0.000854,0.000854
10,73.3964,0.54445,0.48785,1.14447,0.9146,0,0.96151,0.73164,0.87939,0.75654,0.82947,0.86757,0.92889,0.84434,0.55265,0.72015,1.63451,0.93343,0,0.0008045,0.0008045,0.0008045
11,80.9204,0.56734,0.54354,1.13592,0.90606,0,0.74717,0.70833,0.79088,0.71054,0.82706,0.79167,0.80225,0.73573,0.61361,0.80764,1.65815,0.9978,0,0.000755,0.000755,0.000755
12,87.1628,0.52704,0.50811,1.0469,0.90261,0,0.82424,0.87795,0.89939,0.77149,0.98284,0.75704,0.92001,0.82533,0.50485,0.63533,1.43238,0.89249,0,0.0007055,0.0007055,0.0007055
13,94.6352,0.49633,0.48114,1.02345,0.90199,0,0.84842,0.94721,0.96524,0.84821,0.84842,0.94721,0.96541,0.86877,0.42867,0.70089,1.41236,0.8837,0,0.000656,0.000656,0.000656
14,100.855,0.48106,0.4867,0.97806,0.89328,0,0.90559,0.87175,0.93664,0.84301,0.90559,0.87175,0.93664,0.86453,0.38703,0.5134,1.32505,0.84532,0,0.0006065,0.0006065,0.0006065
15,108.283,0.49699,0.4791,0.92895,0.89513,0,0.92883,0.92242,0.95679,0.82436,0.92883,0.92242,0.95679,0.87334,0.47236,0.5083,1.22577,0.88506,0,0.000557,0.000557,0.000557
16,116.426,0.40947,0.37202,1.12135,0.85453,0,0.84271,0.95903,0.94919,0.85478,0.84271,0.95903,0.94545,0.88009,0.39683,0.48398,1.57006,0.84468,0,0.0005075,0.0005075,0.0005075
17,123.089,0.40532,0.41368,1.06903,0.85168,0,0.91867,0.87803,0.98082,0.91886,0.91867,0.87803,0.98082,0.90835,0.3839,0.51843,1.2284,0.83481,0,0.000458,0.000458,0.000458
18,129.277,0.3905,0.40406,0.99146,0.8381,0,0.97882,0.83602,0.90993,0.82952,0.97882,0.83602,0.90993,0.87199,0.42917,0.45669,1.29903,0.86242,0,0.0004085,0.0004085,0.0004085
19,135.847,0.39729,0.38286,0.98116,0.86907,0,0.9237,0.92486,0.974,0.9325,0.9237,0.92486,0.974,0.94466,0.32605,0.41768,1.06441,0.81544,0,0.000359,0.000359,0.000359
20,142.025,0.37557,0.37702,0.94646,0.83691,0,0.94904,0.91327,0.98567,0.94474,0.94904,0.91327,0.98567,0.9569,0.31572,0.42473,0.91535,0.80837,0,0.0003095,0.0003095,0.0003095
21,148.879,0.33386,0.33939,0.87881,0.82521,0,0.95257,0.92079,0.989,0.94192,0.95257,0.92079,0.989,0.95606,0.34081,0.41985,0.90644,0.81583,0,0.00026,0.00026,0.00026
22,154.588,0.34759,0.32093,0.83712,0.8177,0,0.94976,0.91855,0.989,0.9415,0.94976,0.91855,0.989,0.95244,0.31899,0.42806,0.91856,0.81548,0,0.0002105,0.0002105,0.0002105
23,162.04,0.32679,0.31912,0.82168,0.81518,0,0.91449,0.95596,0.98833,0.93972,0.91449,0.95596,0.98833,0.95184,0.3328,0.39554,0.93068,0.81084,0,0.000161,0.000161,0.000161
24,174.867,0.31462,0.3033,0.78417,0.81296,0,0.90926,0.95613,0.98567,0.93125,0.90926,0.95613,0.98567,0.9578,0.30741,0.35847,0.89124,0.79744,0,0.0001115,0.0001115,0.0001115
25,182.007,0.29311,0.32362,0.77131,0.81951,0,0.98326,0.91073,0.995,0.95795,0.98326,0.91073,0.995,0.97116,0.28454,0.3472,0.87033,0.7894,0,6.2e-05,6.2e-05,6.2e-05
